************************************************
*  Welcome to the eighth lesson of the RL-Lab!   *
*               (Deep Q-Network)                 *
**************************************************

episode  0: rw: 13.00, eps: 0.99
episode  1: rw: 16.00, eps: 0.97
episode  2: rw: 17.00, eps: 0.95
episode  3: rw: 17.50, eps: 0.93
episode  4: rw: 16.40, eps: 0.92
episode  5: rw: 16.17, eps: 0.91
episode  6: rw: 16.86, eps: 0.89
episode  7: rw: 16.75, eps: 0.87
episode  8: rw: 16.89, eps: 0.86
episode  9: rw: 19.20, eps: 0.83
episode 10: rw: 18.45, eps: 0.82
episode 11: rw: 18.00, eps: 0.81
episode 12: rw: 19.77, eps: 0.77
episode 13: rw: 19.21, eps: 0.76
episode 14: rw: 20.33, eps: 0.74
episode 15: rw: 22.31, eps: 0.70
episode 16: rw: 22.35, eps: 0.68
episode 17: rw: 23.28, eps: 0.66
episode 18: rw: 25.00, eps: 0.62
episode 19: rw: 26.55, eps: 0.59
episode 20: rw: 26.10, eps: 0.58
episode 21: rw: 25.41, eps: 0.57
episode 22: rw: 26.26, eps: 0.55
episode 23: rw: 25.96, eps: 0.54
episode 24: rw: 25.92, eps: 0.52
episode 25: rw: 26.54, eps: 0.50
episode 26: rw: 28.48, eps: 0.46
episode 27: rw: 28.64, eps: 0.45
episode 28: rw: 30.00, eps: 0.42
episode 29: rw: 29.57, eps: 0.41
episode 30: rw: 31.58, eps: 0.38
episode 31: rw: 31.91, eps: 0.36
episode 32: rw: 33.94, eps: 0.33
episode 33: rw: 35.44, eps: 0.30
episode 34: rw: 36.97, eps: 0.27
episode 35: rw: 40.83, eps: 0.23
episode 36: rw: 49.46, eps: 0.16
episode 37: rw: 54.97, eps: 0.12
episode 38: rw: 54.23, eps: 0.12
episode 39: rw: 55.58, eps: 0.11
episode 40: rw: 55.41, eps: 0.10
episode 41: rw: 54.74, eps: 0.10
episode 42: rw: 54.88, eps: 0.09
episode 43: rw: 54.20, eps: 0.09
episode 44: rw: 53.38, eps: 0.09
episode 45: rw: 52.91, eps: 0.09
episode 46: rw: 52.28, eps: 0.09
episode 47: rw: 51.52, eps: 0.08
episode 48: rw: 50.82, eps: 0.08
episode 49: rw: 50.12, eps: 0.08
episode 50: rw: 49.51, eps: 0.08
episode 51: rw: 48.96, eps: 0.08
episode 52: rw: 48.32, eps: 0.08
episode 53: rw: 47.72, eps: 0.08
episode 54: rw: 47.18, eps: 0.07
episode 55: rw: 46.96, eps: 0.07
episode 56: rw: 46.53, eps: 0.07
episode 57: rw: 45.88, eps: 0.07
episode 58: rw: 45.31, eps: 0.07
episode 59: rw: 44.75, eps: 0.07
episode 60: rw: 44.16, eps: 0.07
episode 61: rw: 45.74, eps: 0.06
episode 62: rw: 46.46, eps: 0.05
episode 63: rw: 47.56, eps: 0.05
episode 64: rw: 47.77, eps: 0.04
episode 65: rw: 47.88, eps: 0.04
episode 66: rw: 48.18, eps: 0.04
episode 67: rw: 48.57, eps: 0.04
episode 68: rw: 48.65, eps: 0.03
episode 69: rw: 48.73, eps: 0.03
episode 70: rw: 48.90, eps: 0.03
episode 71: rw: 48.99, eps: 0.03
episode 72: rw: 49.18, eps: 0.03
episode 73: rw: 49.57, eps: 0.03
episode 74: rw: 49.96, eps: 0.02
episode 75: rw: 53.61, eps: 0.02
episode 76: rw: 54.06, eps: 0.02
episode 77: rw: 53.71, eps: 0.02
episode 78: rw: 53.28, eps: 0.01
episode 79: rw: 52.81, eps: 0.01
episode 80: rw: 52.40, eps: 0.01
episode 81: rw: 52.99, eps: 0.01
episode 82: rw: 53.75, eps: 0.01
episode 83: rw: 56.23, eps: 0.01
episode 84: rw: 57.31, eps: 0.01
episode 85: rw: 58.56, eps: 0.01
episode 86: rw: 59.91, eps: 0.01
episode 87: rw: 64.22, eps: 0.00
episode 88: rw: 63.61, eps: 0.00
episode 89: rw: 63.01, eps: 0.00
episode 90: rw: 62.43, eps: 0.00
episode 91: rw: 61.86, eps: 0.00
episode 92: rw: 61.30, eps: 0.00
episode 93: rw: 60.76, eps: 0.00
episode 94: rw: 60.22, eps: 0.00
episode 95: rw: 61.65, eps: 0.00
episode 96: rw: 61.10, eps: 0.00
episode 97: rw: 60.57, eps: 0.00
episode 98: rw: 60.05, eps: 0.00
episode 99: rw: 59.54, eps: 0.00
